Bit,Message,Hashes,Cycle pos,Cycle Node
24,22C5ec,0,1486,08FAB4
24,42bBb7,0,2,32E8CF
24,9BA8ee,0,4092,487643
24,c19d1b,0,3601,F747C1
24,b39f4d,0,284,6C9ECB
24,6fe49e,0,7033,F747C1
24,Ac2581,0,3397,487643
24,dcdd6A,0,3981,487643
24,7eae6B,0,6697,F747C1
24,73F00d,0,3305,487643
24,DFCE1b,0,224,F7CAF7
24,Beb002,0,7961,F747C1
24,1B0372,0,2830,487643
24,2ee746,0,5791,F747C1
24,ac6Fca,0,4924,487643
24,76FBA9,0,3848,487643
24,6361bC,0,323,3BF182
24,0c75Ab,0,6930,F747C1
24,8CDC5a,0,3544,487643
24,8dCbCB,0,3532,487643
24,E1332E,0,5059,F747C1
24,ac9CFb,0,1735,487643
24,C1A2a7,0,3041,08FAB4
24,f8C980,0,657,673717
24,Ce61CC,0,3607,F747C1
24,a85955,0,4834,487643
24,fC8bE1,0,7256,F747C1
24,aC03cD,0,3231,487643
24,952Acc,0,4345,487643
24,922c24,0,7590,F747C1
24,BBCc8c,0,1607,487643
24,a0b29b,0,2390,08FAB4
24,Cd2767,0,1780,673717
24,3dBdC0,0,1263,F747C1
24,EcFaBB,0,709,F747C1
24,B4ED5b,0,2251,487643
24,f3765B,0,3327,487643
24,5cE3cc,0,3150,487643
24,EbBB48,0,4111,F747C1
24,Ba7af5,0,876,F747C1
24,b8d92f,0,3196,487643
24,5A121f,0,4422,487643
24,baAEeD,0,1460,487643
24,5f542A,0,2472,487643
24,ee910D,0,4106,487643
24,e9875F,0,1606,F747C1
24,e06eB7,0,6452,F747C1
24,B3De1C,0,549,F747C1
24,4F7DFd,0,3195,487643
24,941AbD,0,6411,F747C1
24,9EcEBb,0,4815,487643
24,DDd8aF,0,3124,08FAB4
24,48ae06,0,2232,487643
24,Dd5Ba6,0,4119,487643
24,3f609D,0,33,B79648
24,B33c22,0,5788,F747C1
24,eBcD94,0,2462,487643
24,AF1d2F,0,3144,487643
24,B11b68,0,7432,F747C1
24,Cf222D,0,368,673717
24,A1d0f9,0,7648,F747C1
24,36FBEE,0,2897,487643
24,5E8e3d,0,1087,08FAB4
24,AF90ce,0,2366,487643
24,38efba,0,3730,487643
24,fD78De,0,5955,F747C1
24,37F491,0,7097,F747C1
24,D7D9C8,0,5498,F747C1
24,Fd7B0e,0,7663,F747C1
24,C8B9bE,0,7542,F747C1
24,b3bB4b,0,4004,487643
24,1e4Ddc,0,3493,487643
24,F7779F,0,1494,F747C1
