Bit,Message,Hashes,Cycle pos,Cycle Node
8,3dE194,24,9,91
8,D51b6d,35,30,AF
8,7dA2fE,16,11,AF
8,628baE,8,3,10
16,4BB709,267,40,C7FC
16,71f755,407,221,A6B1
16,b29A0c,268,41,7E42
16,EfCf4C,271,85,A6B1
24,565Fbd,4485,3257,487643
24,61FB9B,7837,7205,F747C1
24,26Af67,8300,7668,F747C1
24,dDeb61,2807,1579,487643
32,fC8B7E,48247,43376,8D4279DF
32,5B8D20,61680,31928,E6398FC0
32,e2B1B8,31226,1474,9C2FB98F
32,490f1c,56031,26279,E6398FC0
